投资时间,受资方,所属行业,VC阶段,投资金额,币种,投资方,
2017-10-31,竞彩猫,体育,天使轮,数千万,人民币,肆客足球 / 去玩资本 / 虎扑体育,
2017-10-31,电咖汽车,IT服务,天使轮,数亿,人民币,不公开的投资者,
2017-10-31,依图科技,硬件,C轮,非公开,,高瓴资本 / 招商银行 / 红杉中国,
2017-10-31,永鑫精工,光电,新三板定增轮,2840万,人民币,湖北高投 / 科华银赛,
2017-10-31,回水科技,其他机械制造,新三板定增轮,7千万,人民币,中创天祺 / 博芮投资,
2017-10-31,运去哪,物流,B轮,数亿,人民币,招商创投,
2017-10-31,大咖助孕,医疗服务,Pre-A轮,数千万,人民币,约印创投,
2017-10-31,摩天轮票务,其他网络服务,B轮,2500万,美元,DCM资本 / 越榕资本 / 蓝湖资本 / 南山资本 / 险峰长青,
2017-10-30,国元证券,证券经纪与交易,上市定增轮,42.1亿,人民币,安徽铁路投资,
2017-10-30,我是车主,其他汽车,A轮,1800万,人民币,心力投资 / 易彤投资 / 嘉道谷投资,
2017-10-30,智能家居,家用电器制造,B轮,8千万,人民币,道合投资 / 华登国际,
2017-10-30,兔小二,居民服务和其他服务业,A轮,数千万,人民币,瑞丽洗涤,
2017-10-30,信用视界,金融,Pre-A轮,1千万,人民币,得厚资本 / 翰潭投资,
2017-10-30,数果,医疗服务,Pre-A轮,数千万,人民币,宏时资本 / 天使投资人 / 泓禧资产,
2017-10-30,深圳园林,房屋和土木工程,新三板定增轮,1亿,人民币,神华投资 / 松禾资本 / 赣州允公,
2017-10-30,和元上海,医药,新三板定增轮,2100万,人民币,浙江华睿泰银投资有限公司,
2017-10-30,苏博医学,其他医药,新三板定增轮,9千万,人民币,萍乡济峰投资 / 甲辰投资 / 雅惠明泽,
2017-10-30,三元生物,食品制造业,新三板定增轮,2065万,人民币,鲁信祺晟,
2017-10-30,点米网络科技,其他,新三板定增轮,1.5亿,人民币,正和方达投资,
2017-10-27,乔合里,其他机械制造,新三板定增轮,3800万,人民币,安鹏股权投资 / 尚颀投资,
2017-10-27,伯朗特,其他电器机械及器材制造,新三板定增轮,1.1亿,人民币,广东荣造投资管理有限公司,
2017-10-27,香蕉立方,配送及仓储,天使轮,数亿,人民币,花生地铁 / 万达控股,
2017-10-27,玛瑞欧,专业培训,天使轮,数百万,人民币,互缘投资,
2017-10-27,平行线教育,学历教育,A轮,8千万,人民币,景林股权投资 / 创新工场 / 天图资本,
2017-10-27,速感科技ULBrain,硬件,B轮,数千万,美元,聚源资本 / 人保远望 / 赛富投资基金 / 启迪之星 / 飞图创投,
2017-10-27,东南网架,建材,上市定增轮,13.8亿,人民币,三山资本 / 红塔红土,
2017-10-26,城云,其他网络服务,B轮,2亿,人民币,碧桂园 / 思科,
2017-10-26,TOGO途歌,其他汽车,B轮,2200万,美元,真格基金 / 海纳亚洲,
2017-10-26,青木高新,新材料,新三板定增轮,8072万,人民币,不公开的投资者,
2017-10-26,青木高新,新材料,新三板定增轮,8072万,人民币,豪迈资本 / 山东豪迈欣兴投资管理有限公司,
2017-10-25,花生好车,汽车租赁,B轮,数亿,人民币,东风创格,
2017-10-25,周博通,网上招聘,天使轮,非公开,,顶商投资,
2017-10-25,恩启,医疗服务,Pre-A轮,数千万,人民币,晨创力合 / 清控银杏,
2017-10-25,每步科技,无线互联网服务,A轮,3千万,人民币,日播时尚 / 彬复资本,
2017-10-25,干果云,网络服务,种子轮,非公开,,Plug & Play Ventures,
2017-10-24,义泰昌,餐饮,A轮,非公开,,红杉中国,
2017-10-24,未来黑科技,数字化电子产品,A轮,数千万,美元,壹号资本 / 凯辉基金 / 软银中国资本,
2017-10-24,高思博乐教育,学历教育,B轮,3.5亿,人民币,沸点资本 / 华人文化产业投资基金 / 创新工场 / 中金公司,
2017-10-24,深鉴科技,硬件,A轮,4千万,美元,三星（中国）投资 / 招商创投 / 蚂蚁金服 / 华创资本,
